name,url,category,lineGroup,backupUrl,note
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@urus99cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์หลัก,https://lin.ee/U44PTPK,ริชเมนู,@urus99cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@urus99cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@ur9sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@ur9sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@ur9sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
การเงิน,http://line.me/ti/p/@ur9cash,ริชเมนู,@ur9sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์รับ,http://line.me/ti/p/@ur9support,ริชเมนู,@ur9sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ลิงก์รับทรัพย์,https://vimeo.com/983698819,ริชเมนู,@ur9sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@evos168,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@evos168,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@evos168,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์รับ,http://line.me/ti/p/@urus99,ริชเมนู,@evos168,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@evos168sv,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@evos168sv,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@evos168sv,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ลิงก์รับทรัพย์,https://vimeo.com/852916233?share=copy,ริชเมนู,@evos168sv,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์รับ,http://line.me/ti/p/@urus99,ริชเมนู,@evos168sv,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@evos168sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@evos168sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@evos168sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ลิงก์รับทรัพย์,https://vimeo.com/852916233?share=copy,ริชเมนู,@evos168sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์รับ,http://line.me/ti/p/@urus99,ริชเมนู,@evos168sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@evos168cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@evos168cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@evos168cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์รับ,http://line.me/ti/p/@urus99,ริชเมนู,@evos168cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
